tags_collected, time_in_minutes, random_seed
43, 40, 1337
18, 40, 1338
66, 40, 1339
76, 40, 1340
16, 40, 1341
49, 40, 1342
34, 40, 1343
44, 40, 1344
79, 40, 1345
51, 40, 1346
46, 40, 1347
26, 40, 1348
46, 40, 1349
26, 40, 1350
4, 40, 1351
7, 40, 1352
11, 40, 1353
76, 40, 1354
0, 40, 1355
64, 40, 1356
21, 40, 1357
37, 40, 1358
77, 40, 1359
52, 40, 1360
0, 40, 1361
23, 40, 1362
85, 40, 1363
64, 40, 1364
30, 40, 1365
39, 40, 1366
10, 40, 1367
23, 40, 1368
4, 40, 1369
30, 40, 1370
46, 40, 1371
78, 40, 1372
70, 40, 1373
44, 40, 1374
101, 40, 1375
41, 40, 1376
85, 40, 1377
47, 40, 1378
11, 40, 1379
32, 40, 1380
54, 40, 1381
31, 40, 1382
49, 40, 1383
48, 40, 1384
80, 40, 1385
35, 40, 1386
