tags_collected, time_in_minutes, random_seed
70, 60, 1337
44, 60, 1338
83, 60, 1339
98, 60, 1340
36, 60, 1341
79, 60, 1342
61, 60, 1343
71, 60, 1344
112, 60, 1345
78, 60, 1346
72, 60, 1347
48, 60, 1348
73, 60, 1349
52, 60, 1350
17, 60, 1351
25, 60, 1352
28, 60, 1353
100, 60, 1354
2, 60, 1355
96, 60, 1356
40, 60, 1357
64, 60, 1358
113, 60, 1359
64, 60, 1360
15, 60, 1361
45, 60, 1362
116, 60, 1363
83, 60, 1364
56, 60, 1365
68, 60, 1366
32, 60, 1367
41, 60, 1368
24, 60, 1369
51, 60, 1370
74, 60, 1371
107, 60, 1372
95, 60, 1373
74, 60, 1374
128, 60, 1375
68, 60, 1376
115, 60, 1377
64, 60, 1378
29, 60, 1379
57, 60, 1380
64, 60, 1381
50, 60, 1382
77, 60, 1383
79, 60, 1384
104, 60, 1385
56, 60, 1386
