tags_collected, time_in_minutes, random_seed
28, 30, 1337
8, 30, 1338
59, 30, 1339
59, 30, 1340
7, 30, 1341
34, 30, 1342
19, 30, 1343
29, 30, 1344
59, 30, 1345
34, 30, 1346
32, 30, 1347
16, 30, 1348
32, 30, 1349
13, 30, 1350
0, 30, 1351
0, 30, 1352
4, 30, 1353
64, 30, 1354
0, 30, 1355
52, 30, 1356
11, 30, 1357
23, 30, 1358
58, 30, 1359
37, 30, 1360
0, 30, 1361
11, 30, 1362
66, 30, 1363
51, 30, 1364
18, 30, 1365
26, 30, 1366
0, 30, 1367
11, 30, 1368
0, 30, 1369
19, 30, 1370
27, 30, 1371
58, 30, 1372
56, 30, 1373
28, 30, 1374
82, 30, 1375
26, 30, 1376
66, 30, 1377
32, 30, 1378
1, 30, 1379
20, 30, 1380
42, 30, 1381
18, 30, 1382
35, 30, 1383
34, 30, 1384
66, 30, 1385
24, 30, 1386
