tags_collected, time_in_minutes, random_seed
30, 30, 1337
25, 30, 1338
21, 30, 1339
48, 30, 1340
22, 30, 1341
36, 30, 1342
58, 30, 1343
41, 30, 1344
40, 30, 1345
27, 30, 1346
31, 30, 1347
25, 30, 1348
34, 30, 1349
35, 30, 1350
21, 30, 1351
28, 30, 1352
24, 30, 1353
19, 30, 1354
64, 30, 1355
19, 30, 1356
49, 30, 1357
36, 30, 1358
23, 30, 1359
23, 30, 1360
22, 30, 1361
43, 30, 1362
29, 30, 1363
25, 30, 1364
32, 30, 1365
29, 30, 1366
9, 30, 1367
26, 30, 1368
47, 30, 1369
45, 30, 1370
34, 30, 1371
39, 30, 1372
26, 30, 1373
26, 30, 1374
49, 30, 1375
23, 30, 1376
30, 30, 1377
29, 30, 1378
29, 30, 1379
34, 30, 1380
37, 30, 1381
16, 30, 1382
35, 30, 1383
25, 30, 1384
44, 30, 1385
48, 30, 1386
