# clock	walking	resting	collected_food	energy
1	0	20	0	0
2	0	20	0	0
3	4	16	0	-4
4	6	14	0	-10
5	6	14	0	-16
6	6	14	0	-22
7	7	13	0	-29
8	10	10	0	-39
9	11	9	0	-50
10	15	5	0	-65
11	18	2	0	-83
12	18	2	0	-101
13	18	2	0	-119
14	18	2	0	-137
15	18	2	0	-155
16	18	2	0	-173
17	18	2	0	-191
18	18	2	0	-209
19	18	2	0	-227
20	18	2	0	-245
21	19	1	0	-264
22	19	1	0	-283
23	19	1	0	-302
24	19	1	0	-321
25	19	1	0	-340
26	19	1	0	-359
27	19	1	0	-378
28	19	1	0	-397
29	19	1	0	-416
30	19	1	0	-435
31	19	1	0	-454
32	19	1	0	-473
33	20	0	0	-493
34	20	0	0	-513
35	20	0	0	-533
36	20	0	0	-553
37	20	0	0	-573
38	20	0	0	-593
39	20	0	0	-613
40	20	0	0	-633
41	20	0	0	-653
42	20	0	0	-673
43	20	0	0	-693
44	20	0	0	-713
45	20	0	0	-733
46	20	0	0	-753
47	20	0	0	-773
48	20	0	0	-793
49	20	0	0	-813
50	20	0	0	-833
51	20	0	0	-853
52	20	0	0	-873
53	20	0	0	-893
54	20	0	0	-913
55	20	0	0	-933
56	20	0	0	-953
57	20	0	0	-973
58	20	0	0	-993
59	20	0	0	-1013
60	20	0	0	-1033
61	20	0	0	-1053
62	20	0	0	-1073
63	20	0	0	-1093
64	20	0	0	-1113
65	20	0	0	-1133
66	20	0	0	-1153
67	20	0	0	-1173
68	20	0	0	-1193
69	20	0	0	-1213
70	20	0	0	-1233
71	20	0	0	-1253
72	20	0	0	-1273
73	20	0	0	-1293
74	20	0	0	-1313
75	20	0	0	-1333
76	20	0	0	-1353
77	20	0	0	-1373
78	20	0	0	-1393
79	20	0	0	-1413
80	20	0	0	-1433
81	20	0	0	-1453
82	20	0	0	-1473
83	20	0	0	-1493
84	20	0	0	-1513
85	20	0	0	-1533
86	20	0	0	-1553
87	20	0	0	-1573
88	20	0	0	-1593
89	20	0	0	-1613
90	20	0	0	-1633
91	20	0	0	-1653
92	20	0	0	-1673
93	20	0	0	-1693
94	20	0	0	-1713
95	20	0	0	-1733
96	20	0	0	-1753
97	20	0	0	-1773
98	20	0	0	-1793
99	20	0	0	-1813
100	20	0	0	-1833
101	20	0	0	-1853
102	20	0	0	-1873
103	20	0	0	-1893
104	20	0	0	-1913
105	20	0	0	-1933
106	20	0	0	-1953
107	20	0	0	-1973
108	20	0	0	-1993
109	20	0	0	-2013
110	20	0	0	-2033
111	20	0	0	-2053
112	20	0	0	-2073
113	20	0	0	-2093
114	20	0	0	-2113
115	20	0	0	-2133
116	20	0	0	-2153
117	20	0	0	-2173
118	20	0	0	-2193
119	20	0	0	-2213
120	20	0	0	-2233
121	20	0	0	-2253
122	20	0	0	-2273
123	20	0	0	-2293
124	20	0	0	-2313
125	20	0	0	-2333
126	20	0	0	-2353
127	20	0	0	-2373
128	20	0	0	-2393
129	20	0	0	-2413
130	20	0	0	-2433
131	20	0	0	-2453
132	20	0	0	-2473
133	20	0	0	-2493
134	20	0	0	-2513
135	20	0	0	-2533
136	20	0	0	-2553
137	20	0	0	-2573
138	20	0	0	-2593
139	20	0	0	-2613
140	20	0	0	-2633
141	20	0	0	-2653
142	20	0	0	-2673
143	20	0	0	-2693
144	20	0	0	-2713
145	20	0	0	-2733
146	20	0	0	-2753
147	20	0	0	-2773
148	20	0	0	-2793
149	20	0	0	-2813
150	20	0	0	-2833
151	20	0	0	-2853
152	20	0	0	-2873
153	20	0	0	-2893
154	20	0	0	-2913
155	20	0	0	-2933
156	20	0	0	-2953
157	20	0	0	-2973
158	20	0	0	-2993
159	20	0	1	-2013
160	20	0	1	-2033
161	20	0	1	-2053
162	20	0	1	-2073
163	20	0	1	-2093
164	20	0	1	-2113
165	20	0	1	-2133
166	20	0	1	-2153
167	20	0	1	-2173
168	20	0	1	-2193
169	20	0	1	-2213
170	20	0	1	-2233
171	20	0	1	-2253
172	20	0	1	-2273
173	20	0	1	-2293
174	20	0	1	-2313
175	20	0	1	-2333
176	20	0	1	-2353
177	20	0	1	-2373
178	20	0	1	-2393
179	20	0	1	-2413
180	20	0	1	-2433
181	20	0	1	-2453
182	20	0	1	-2473
183	20	0	1	-2493
184	20	0	2	-1513
185	20	0	2	-1533
186	20	0	2	-1553
187	20	0	2	-1573
188	20	0	2	-1593
189	20	0	2	-1613
190	20	0	2	-1633
191	20	0	2	-1653
192	20	0	2	-1673
193	20	0	2	-1693
194	20	0	2	-1713
195	20	0	2	-1733
196	20	0	2	-1753
197	20	0	2	-1773
198	20	0	2	-1793
199	20	0	2	-1813
200	20	0	2	-1833
201	20	0	2	-1853
202	20	0	3	-873
203	20	0	3	-893
204	20	0	3	-913
205	20	0	4	67
206	20	0	4	47
207	20	0	4	27
208	20	0	4	7
209	20	0	4	-13
210	20	0	4	-33
211	20	0	4	-53
212	20	0	4	-73
213	20	0	4	-93
214	20	0	4	-113
215	20	0	4	-133
216	20	0	4	-153
217	20	0	4	-173
218	19	1	4	-192
219	19	1	4	-211
220	19	1	4	-230
221	19	1	4	-249
222	19	1	4	-268
223	19	1	4	-287
224	19	1	4	-306
225	19	1	4	-325
226	19	1	4	-344
227	19	1	4	-363
228	19	1	4	-382
229	19	1	4	-401
230	19	1	4	-420
231	19	1	4	-439
232	19	1	4	-458
233	19	1	4	-477
234	19	1	4	-496
235	19	1	4	-515
236	19	1	4	-534
237	19	1	4	-553
238	19	1	4	-572
239	19	1	4	-591
240	19	1	4	-610
241	19	1	4	-629
242	18	2	4	-647
243	18	2	4	-665
244	18	2	4	-683
245	18	2	4	-701
246	18	2	4	-719
247	18	2	4	-737
248	18	2	4	-755
249	18	2	4	-773
250	18	2	4	-791
251	18	2	4	-809
252	18	2	4	-827
253	18	2	4	-845
254	18	2	4	-863
255	18	2	4	-881
256	18	2	4	-899
257	18	2	4	-917
258	18	2	4	-935
259	18	2	4	-953
260	17	3	4	-970
261	16	4	4	-986
262	16	4	4	-1002
263	16	4	4	-1018
264	16	4	4	-1034
265	16	4	4	-1050
266	16	4	4	-1066
267	16	4	4	-1082
268	16	4	4	-1098
269	16	4	4	-1114
270	16	4	4	-1130
271	16	4	4	-1146
272	16	4	4	-1162
273	16	4	5	-178
274	16	4	5	-194
275	16	4	5	-210
276	16	4	5	-226
277	17	3	5	-243
278	17	3	5	-260
279	17	3	5	-277
280	17	3	5	-294
281	17	3	5	-311
282	17	3	5	-328
283	17	3	5	-345
284	17	3	5	-362
285	17	3	5	-379
286	17	3	5	-396
287	17	3	5	-413
288	17	3	5	-430
289	17	3	5	-447
290	17	3	5	-464
291	17	3	5	-481
292	17	3	5	-498
293	17	3	5	-515
294	17	3	5	-532
295	17	3	5	-549
296	17	3	5	-566
297	17	3	5	-583
298	17	3	5	-600
299	17	3	5	-617
300	17	3	5	-634
301	17	3	5	-651
302	17	3	5	-668
303	17	3	5	-685
304	17	3	5	-702
305	17	3	5	-719
306	17	3	5	-736
307	17	3	5	-753
308	17	3	5	-770
309	17	3	5	-787
310	17	3	5	-804
311	17	3	5	-821
312	17	3	5	-838
313	17	3	5	-855
314	17	3	5	-872
315	17	3	5	-889
316	17	3	5	-906
317	17	3	5	-923
318	18	2	5	-941
319	18	2	5	-959
320	18	2	5	-977
321	18	2	5	-995
322	18	2	5	-1013
323	18	2	5	-1031
324	18	2	5	-1049
325	18	2	5	-1067
326	18	2	5	-1085
327	18	2	5	-1103
328	18	2	5	-1121
329	18	2	5	-1139
330	18	2	5	-1157
331	17	3	5	-1174
332	17	3	5	-1191
333	17	3	5	-1208
334	17	3	5	-1225
335	17	3	5	-1242
336	17	3	5	-1259
337	17	3	5	-1276
338	17	3	5	-1293
339	17	3	5	-1310
340	17	3	5	-1327
341	17	3	5	-1344
342	17	3	5	-1361
343	17	3	5	-1378
344	17	3	5	-1395
345	17	3	5	-1412
346	17	3	5	-1429
347	17	3	5	-1446
348	17	3	5	-1463
349	17	3	5	-1480
350	17	3	5	-1497
351	17	3	5	-1514
352	17	3	5	-1531
353	17	3	5	-1548
354	17	3	5	-1565
355	17	3	5	-1582
356	17	3	5	-1599
357	17	3	5	-1616
358	17	3	5	-1633
359	17	3	5	-1650
360	17	3	5	-1667
361	17	3	5	-1684
362	17	3	5	-1701
363	17	3	5	-1718
364	17	3	5	-1735
365	17	3	5	-1752
366	17	3	5	-1769
367	17	3	5	-1786
368	17	3	5	-1803
369	17	3	5	-1820
370	17	3	5	-1837
371	17	3	5	-1854
372	17	3	5	-1871
373	17	3	5	-1888
374	18	2	5	-1906
375	18	2	5	-1924
376	18	2	5	-1942
377	18	2	5	-1960
378	18	2	5	-1978
379	18	2	5	-1996
380	18	2	5	-2014
381	18	2	5	-2032
382	18	2	5	-2050
383	18	2	5	-2068
384	18	2	5	-2086
385	18	2	5	-2104
386	18	2	5	-2122
387	18	2	5	-2140
388	18	2	5	-2158
389	19	1	5	-2177
390	19	1	5	-2196
391	19	1	5	-2215
392	19	1	5	-2234
393	19	1	5	-2253
394	19	1	5	-2272
395	19	1	5	-2291
396	20	0	5	-2311
397	20	0	5	-2331
398	20	0	5	-2351
399	20	0	5	-2371
400	20	0	5	-2391
401	20	0	5	-2411
402	20	0	5	-2431
403	20	0	5	-2451
404	20	0	5	-2471
405	20	0	5	-2491
406	20	0	5	-2511
407	20	0	5	-2531
408	20	0	5	-2551
409	20	0	5	-2571
410	20	0	5	-2591
411	20	0	5	-2611
412	20	0	5	-2631
413	20	0	5	-2651
414	20	0	5	-2671
415	20	0	5	-2691
416	20	0	5	-2711
417	20	0	5	-2731
418	20	0	5	-2751
419	20	0	5	-2771
420	20	0	5	-2791
421	20	0	5	-2811
422	20	0	5	-2831
423	20	0	5	-2851
424	20	0	5	-2871
425	20	0	5	-2891
426	20	0	5	-2911
427	20	0	5	-2931
428	20	0	5	-2951
429	20	0	5	-2971
430	20	0	5	-2991
431	20	0	5	-3011
432	20	0	5	-3031
433	20	0	5	-3051
434	20	0	5	-3071
435	20	0	5	-3091
436	20	0	5	-3111
437	20	0	5	-3131
438	20	0	5	-3151
439	20	0	5	-3171
440	20	0	5	-3191
441	20	0	5	-3211
442	20	0	5	-3231
443	20	0	5	-3251
444	20	0	5	-3271
445	20	0	5	-3291
446	20	0	5	-3311
447	20	0	5	-3331
448	20	0	5	-3351
449	20	0	5	-3371
450	20	0	5	-3391
451	20	0	5	-3411
452	20	0	5	-3431
453	20	0	5	-3451
454	20	0	5	-3471
455	20	0	5	-3491
456	20	0	5	-3511
457	20	0	5	-3531
458	20	0	5	-3551
459	20	0	5	-3571
460	20	0	5	-3591
461	20	0	5	-3611
462	20	0	5	-3631
463	20	0	5	-3651
464	20	0	5	-3671
465	20	0	5	-3691
466	20	0	5	-3711
467	20	0	5	-3731
468	20	0	5	-3751
469	20	0	5	-3771
470	20	0	5	-3791
471	20	0	5	-3811
472	20	0	5	-3831
473	20	0	5	-3851
474	20	0	5	-3871
475	20	0	5	-3891
476	20	0	5	-3911
477	20	0	5	-3931
478	20	0	5	-3951
479	20	0	5	-3971
480	20	0	5	-3991
481	20	0	5	-4011
482	20	0	5	-4031
483	20	0	5	-4051
484	20	0	5	-4071
485	20	0	5	-4091
486	20	0	5	-4111
487	20	0	5	-4131
488	20	0	5	-4151
489	20	0	5	-4171
490	20	0	5	-4191
491	20	0	5	-4211
492	20	0	5	-4231
493	20	0	5	-4251
494	20	0	5	-4271
495	20	0	5	-4291
496	20	0	5	-4311
497	20	0	5	-4331
498	20	0	5	-4351
499	20	0	5	-4371
500	20	0	5	-4391
501	20	0	5	-4411
502	20	0	5	-4431
503	20	0	5	-4451
504	20	0	5	-4471
505	20	0	5	-4491
506	20	0	5	-4511
507	20	0	5	-4531
508	20	0	5	-4551
509	20	0	5	-4571
510	20	0	5	-4591
511	20	0	5	-4611
512	20	0	5	-4631
513	20	0	5	-4651
514	20	0	5	-4671
515	20	0	5	-4691
516	20	0	5	-4711
517	20	0	5	-4731
518	20	0	5	-4751
519	20	0	5	-4771
520	20	0	5	-4791
521	20	0	5	-4811
522	20	0	5	-4831
523	20	0	5	-4851
524	20	0	5	-4871
525	20	0	5	-4891
526	20	0	5	-4911
527	20	0	5	-4931
528	20	0	5	-4951
529	20	0	5	-4971
530	20	0	5	-4991
531	20	0	5	-5011
532	20	0	5	-5031
533	20	0	5	-5051
534	20	0	5	-5071
535	20	0	5	-5091
536	20	0	5	-5111
537	20	0	5	-5131
538	20	0	5	-5151
539	20	0	5	-5171
540	20	0	5	-5191
541	20	0	5	-5211
542	20	0	5	-5231
543	20	0	5	-5251
544	20	0	5	-5271
545	20	0	5	-5291
546	20	0	5	-5311
547	20	0	5	-5331
548	20	0	5	-5351
