Pile ID	Distribution Type	X-Position	Y-Position	Pickup Time	Drop Off Time	Ant ID
0	1	6.56215	-9.51182	-1	-1	-1
0	1	6.71215	-9.51182	-1	-1	-1
0	1	6.86215	-9.51182	-1	-1	-1
0	1	7.01215	-9.51182	-1	-1	-1
0	1	7.16215	-9.51182	-1	-1	-1
0	1	7.31215	-9.51182	-1	-1	-1
0	1	7.46215	-9.51182	-1	-1	-1
0	1	7.61215	-9.51182	-1	-1	-1
0	1	7.76215	-9.51182	-1	-1	-1
0	1	7.91215	-9.51182	-1	-1	-1
0	1	8.06215	-9.51182	-1	-1	-1
0	1	8.21215	-9.51182	-1	-1	-1
0	1	8.36215	-9.51182	-1	-1	-1
0	1	8.51215	-9.51182	-1	-1	-1
0	1	8.66215	-9.51182	-1	-1	-1
0	1	8.81215	-9.51182	-1	-1	-1
0	1	6.56215	-9.36182	-1	-1	-1
0	1	6.71215	-9.36182	-1	-1	-1
0	1	6.86215	-9.36182	-1	-1	-1
0	1	7.01215	-9.36182	-1	-1	-1
0	1	7.16215	-9.36182	-1	-1	-1
0	1	7.31215	-9.36182	-1	-1	-1
0	1	7.46215	-9.36182	-1	-1	-1
0	1	7.61215	-9.36182	-1	-1	-1
0	1	7.76215	-9.36182	-1	-1	-1
0	1	7.91215	-9.36182	-1	-1	-1
0	1	8.06215	-9.36182	-1	-1	-1
0	1	8.21215	-9.36182	-1	-1	-1
0	1	8.36215	-9.36182	-1	-1	-1
0	1	8.51215	-9.36182	-1	-1	-1
0	1	8.66215	-9.36182	-1	-1	-1
0	1	8.81215	-9.36182	-1	-1	-1
0	1	6.56215	-9.21182	-1	-1	-1
0	1	6.71215	-9.21182	-1	-1	-1
0	1	6.86215	-9.21182	-1	-1	-1
0	1	7.01215	-9.21182	-1	-1	-1
0	1	7.16215	-9.21182	-1	-1	-1
0	1	7.31215	-9.21182	-1	-1	-1
0	1	7.46215	-9.21182	-1	-1	-1
0	1	7.61215	-9.21182	-1	-1	-1
0	1	7.76215	-9.21182	-1	-1	-1
0	1	7.91215	-9.21182	-1	-1	-1
0	1	8.06215	-9.21182	-1	-1	-1
0	1	8.21215	-9.21182	-1	-1	-1
0	1	8.36215	-9.21182	-1	-1	-1
0	1	8.51215	-9.21182	-1	-1	-1
0	1	8.66215	-9.21182	-1	-1	-1
0	1	8.81215	-9.21182	-1	-1	-1
0	1	6.56215	-9.06182	-1	-1	-1
0	1	6.71215	-9.06182	-1	-1	-1
0	1	6.86215	-9.06182	-1	-1	-1
0	1	7.01215	-9.06182	-1	-1	-1
0	1	7.16215	-9.06182	-1	-1	-1
0	1	7.31215	-9.06182	-1	-1	-1
0	1	7.46215	-9.06182	-1	-1	-1
0	1	7.61215	-9.06182	-1	-1	-1
0	1	7.76215	-9.06182	-1	-1	-1
0	1	7.91215	-9.06182	-1	-1	-1
0	1	8.06215	-9.06182	-1	-1	-1
0	1	8.21215	-9.06182	-1	-1	-1
0	1	8.36215	-9.06182	-1	-1	-1
0	1	8.51215	-9.06182	-1	-1	-1
0	1	8.66215	-9.06182	-1	-1	-1
0	1	8.81215	-9.06182	-1	-1	-1
0	1	6.56215	-8.91182	-1	-1	-1
0	1	6.71215	-8.91182	-1	-1	-1
0	1	6.86215	-8.91182	-1	-1	-1
0	1	7.01215	-8.91182	-1	-1	-1
0	1	7.16215	-8.91182	-1	-1	-1
0	1	7.31215	-8.91182	-1	-1	-1
0	1	7.46215	-8.91182	-1	-1	-1
0	1	7.61215	-8.91182	-1	-1	-1
0	1	7.76215	-8.91182	-1	-1	-1
0	1	7.91215	-8.91182	-1	-1	-1
0	1	8.06215	-8.91182	-1	-1	-1
0	1	8.21215	-8.91182	-1	-1	-1
0	1	8.36215	-8.91182	-1	-1	-1
0	1	8.51215	-8.91182	-1	-1	-1
0	1	8.66215	-8.91182	-1	-1	-1
0	1	8.81215	-8.91182	-1	-1	-1
0	1	6.56215	-8.76182	-1	-1	-1
0	1	6.71215	-8.76182	-1	-1	-1
0	1	6.86215	-8.76182	-1	-1	-1
0	1	7.01215	-8.76182	-1	-1	-1
0	1	7.16215	-8.76182	-1	-1	-1
0	1	7.31215	-8.76182	-1	-1	-1
0	1	7.46215	-8.76182	-1	-1	-1
0	1	7.61215	-8.76182	-1	-1	-1
0	1	7.76215	-8.76182	-1	-1	-1
0	1	7.91215	-8.76182	-1	-1	-1
0	1	8.06215	-8.76182	-1	-1	-1
0	1	8.21215	-8.76182	-1	-1	-1
0	1	8.36215	-8.76182	-1	-1	-1
0	1	8.51215	-8.76182	-1	-1	-1
0	1	8.66215	-8.76182	-1	-1	-1
0	1	8.81215	-8.76182	-1	-1	-1
0	1	6.56215	-8.61182	-1	-1	-1
0	1	6.71215	-8.61182	-1	-1	-1
0	1	6.86215	-8.61182	-1	-1	-1
0	1	7.01215	-8.61182	-1	-1	-1
0	1	7.16215	-8.61182	-1	-1	-1
0	1	7.31215	-8.61182	-1	-1	-1
0	1	7.46215	-8.61182	-1	-1	-1
0	1	7.61215	-8.61182	-1	-1	-1
0	1	7.76215	-8.61182	-1	-1	-1
0	1	7.91215	-8.61182	-1	-1	-1
0	1	8.06215	-8.61182	-1	-1	-1
0	1	8.21215	-8.61182	-1	-1	-1
0	1	8.36215	-8.61182	-1	-1	-1
0	1	8.51215	-8.61182	-1	-1	-1
0	1	8.66215	-8.61182	-1	-1	-1
0	1	8.81215	-8.61182	-1	-1	-1
0	1	6.56215	-8.46182	-1	-1	-1
0	1	6.71215	-8.46182	-1	-1	-1
0	1	6.86215	-8.46182	-1	-1	-1
0	1	7.01215	-8.46182	-1	-1	-1
0	1	7.16215	-8.46182	-1	-1	-1
0	1	7.31215	-8.46182	-1	-1	-1
0	1	7.46215	-8.46182	-1	-1	-1
0	1	7.61215	-8.46182	-1	-1	-1
0	1	7.76215	-8.46182	-1	-1	-1
0	1	7.91215	-8.46182	-1	-1	-1
0	1	8.06215	-8.46182	-1	-1	-1
