tags_collected, time_in_minutes, random_seed, experiment_number
15,     2,     1,     1
0,     0,     1,     1
2,     0,     1,     1
249,     60,     1,     1
216,     35,     1,     2
0,     1,     1,     1
0,     0,     1,     1
